id,x1,x2,x3,y
270,0.38,8,3,92.1
271,0.73,5,2,99.9
272,0.41,4,2,94.5
273,0.69,5,4,84.8
274,0.27,8,2,86.1
275,0.68,4,3,94.6
276,0.45,4,1,86.7
277,0.56,4,4,91.9
278,0.87,6,4,84.2
279,0.73,5,3,90.6
280,0.44,4,4,74
281,0.28,7,1,93.2
282,0.76,6,2,99.9
283,0.52,4,4,83
284,0.27,7,2,96.9
285,0.21,3,3,89.1
286,0.59,5,4,87.2
287,0.31,6,1,90.3
288,0.33,8,2,98.3
289,0.46,3,4,82.1
290,0.25,3,3,80.7
291,0.37,5,2,90.1
292,0.38,6,1,83.5
293,0.83,5,4,82.9
294,0.69,2,4,95.4
295,0.26,8,4,80
296,0.77,6,3,88.8
297,0.78,4,2,100
298,0.35,4,3,80.3
299,0.5,7,2,82
300,0.47,3,3,86.8
301,0.33,6,2,76.9
302,0.38,6,4,73.5
303,0.4,7,3,91.5
304,0.37,7,2,83.7
305,0.87,6,2,100
306,0.52,4,2,82.2
307,0.8,7,3,92.5
308,0.86,8,4,92
309,0.66,3,3,84.1
310,0.78,6,2,87.9
311,0.62,5,1,94.1
312,0.53,7,1,78.8
313,0.61,6,2,87.2
314,0.71,3,4,82
315,0.43,6,1,96.4
316,0.87,6,3,80.3
317,0.45,7,4,74.8
318,0.5,2,2,88.3
319,0.4,3,3,98
320,0.83,4,1,95.3
321,0.77,7,3,82.7
322,0.51,8,1,94.9
323,0.28,5,3,94.5
324,0.46,7,4,94.9
325,0.78,4,3,88.2
326,0.74,6,4,95.8
327,0.46,5,2,78
328,0.55,8,1,81.9
329,0.5,6,3,92.8
330,0.75,3,3,88
331,0.76,3,2,92.8
332,0.85,4,1,100
333,0.72,6,3,87.3
334,0.49,6,2,81.7
335,0.35,7,3,78.7
336,0.53,6,2,95.5
337,0.28,8,4,76
338,0.5,6,3,86.7
339,0.24,5,3,88.2
340,0.44,2,3,83.2
341,0.42,7,2,83.1
342,0.42,3,3,84.6
343,0.4,5,4,91.8
344,0.41,7,2,85.8
345,0.64,6,2,83.1
346,0.8,4,3,88.4
347,0.21,6,2,87.1
348,0.77,7,3,100
349,0.45,6,1,79.7
350,0.29,7,4,78.8
351,0.67,3,4,89.6
352,0.7,7,3,100
353,0.63,4,2,77.2
354,0.56,4,2,91.4
355,0.48,5,2,81.8
356,0.49,6,2,88.4
357,0.61,3,2,86
358,0.22,5,3,93.2
359,0.61,2,3,86.6
360,0.56,5,3,89.8
361,0.36,7,4,78.8
362,0.58,8,3,100
363,0.34,7,1,93.4
364,0.72,5,2,88.6
365,0.64,7,1,89.4
366,0.29,2,2,83.5
367,0.39,6,1,98.6
368,0.41,5,2,81.3
369,0.21,3,1,75.8
370,0.61,7,4,88.8
371,0.3,2,3,78.4
372,0.68,4,2,83.3
373,0.75,3,2,93.9
374,0.72,3,3,94
375,0.49,7,1,83.6
376,0.32,8,3,86.3
377,0.55,8,2,80.1
378,0.42,8,1,89.9
379,0.7,3,1,87.7
380,0.49,7,2,96.7
381,0.58,4,1,94.4
382,0.31,4,1,85.8
383,0.79,3,3,83.9
384,0.61,4,2,80.1
385,0.69,5,3,98
386,0.86,4,3,87.2
387,0.21,8,2,78
388,0.72,4,2,99.3
389,0.65,8,2,96.9
390,0.44,4,2,86.8
391,0.56,5,2,85.2
392,0.55,3,3,91.1
393,0.89,6,2,91.8
394,0.38,8,2,88
395,0.52,7,2,100
396,0.67,4,1,92.5
397,0.61,7,1,98.9
398,0.33,3,4,92.8
399,0.26,4,1,95.7
400,0.62,5,3,77.7
401,0.39,6,1,81.8
402,0.39,4,4,88
403,0.65,5,2,85.6
404,0.89,7,2,100
405,0.7,7,2,89.3
406,0.3,7,3,79.8
407,0.51,5,1,83.4
408,0.89,4,1,100
409,0.44,5,2,90.2
410,0.31,7,4,80.2
411,0.31,3,4,87.7
412,0.24,3,3,89.5
413,0.72,3,4,82
414,0.58,5,3,84.6
415,0.72,8,2,88.7
416,0.8,7,3,82.9
417,0.35,5,4,76.6
418,0.42,8,2,95.3
419,0.61,7,3,91.5
420,0.8,3,2,97.8
421,0.6,7,2,92.7
422,0.66,5,4,90.1
423,0.51,5,1,99.1
424,0.76,3,3,89
425,0.3,7,4,97
426,0.63,5,3,85.4
427,0.52,8,1,89.4
428,0.56,4,2,90.5
429,0.68,4,4,78.1
430,0.81,5,4,81.3
431,0.73,4,2,93
432,0.55,4,2,89.8
433,0.84,7,4,96.3
434,0.56,6,3,75.4
435,0.24,4,2,88.4
436,0.77,5,1,100
437,0.71,4,3,88.2
438,0.23,6,2,87.6
439,0.62,4,2,98.8
440,0.24,7,1,78.6
441,0.32,6,3,86.5
442,0.22,6,2,80.7
443,0.67,5,3,88.2
444,0.28,3,2,82.2
445,0.35,6,3,78.9
446,0.79,3,3,82.5
447,0.85,5,4,77.7
448,0.64,4,2,89.3
449,0.82,2,3,98.8
450,0.61,6,2,79.6
451,0.23,7,2,91
452,0.75,4,3,83.2
453,0.57,2,4,90.9
454,0.35,6,2,98.1
455,0.35,3,1,86.7
456,0.66,3,4,89.6
457,0.51,4,4,80.5
458,0.33,5,2,89.5
459,0.87,6,3,100
460,0.8,3,1,92.5
461,0.26,4,3,82
462,0.49,2,3,84.5
463,0.3,5,2,85
464,0.3,5,2,82.2
465,0.45,6,1,80.8
466,0.25,7,2,89.2
467,0.84,7,4,86.5
468,0.57,4,2,100
469,0.85,8,2,81.9
470,0.5,2,4,83.6
471,0.48,7,3,88.3
472,0.54,4,2,88.4
473,0.48,3,4,88.4
474,0.23,4,2,78.9
475,0.8,2,2,100
476,0.64,8,2,82.5
477,0.23,7,3,91.7
478,0.43,4,1,79.6
479,0.33,5,1,97.4
480,0.32,7,1,91.4
481,0.73,5,4,95.1
482,0.63,7,2,100
483,0.46,4,4,85.7
484,0.82,3,3,85.5
485,0.5,2,2,95.4
486,0.77,3,4,93.4
487,0.57,3,1,93.3
488,0.24,7,3,88.8
489,0.45,6,4,83.5
490,0.28,4,4,73.6
491,0.27,3,1,83.4
492,0.72,7,4,85.5
493,0.79,7,3,90.5
494,0.62,6,3,98.1
495,0.67,8,3,85
496,0.48,3,2,83.2
497,0.77,3,4,95.3
498,0.36,4,2,82.5
499,0.67,5,4,91
500,0.89,4,4,88.8
501,0.2,5,3,81.1
502,0.28,7,3,80.4
503,0.76,8,2,85.2
504,0.42,5,2,86.8
505,0.28,4,3,74.6
506,0.86,6,1,100
507,0.41,5,3,83
508,0.51,6,2,97.1
509,0.69,3,2,84.2
510,0.58,3,1,80.9
511,0.49,4,4,91.3
512,0.41,6,1,84.1
513,0.7,8,2,90.6
514,0.33,6,1,85.3
515,0.41,8,3,91.6
516,0.35,6,4,92.3
517,0.25,3,2,91
518,0.57,6,4,91
519,0.59,4,2,82.7
520,0.26,3,1,84.8
521,0.63,6,3,100
522,0.21,4,1,86.7
523,0.52,7,2,92.2
524,0.51,5,3,87.5
525,0.24,3,3,77.9
526,0.4,4,4,72.8
527,0.51,2,3,100
528,0.23,3,1,97.2
529,0.44,4,3,78.9
530,0.36,3,3,80.8
531,0.69,8,2,94.1
532,0.62,7,2,99.9
533,0.54,6,2,89.1
534,0.52,7,2,86.6
535,0.4,6,4,84.5
536,0.63,3,2,93.4
537,0.81,4,1,93.1
538,0.68,3,2,90.7
539,0.59,5,1,87
540,0.64,6,1,93.6
541,0.24,8,4,97
542,0.88,6,1,100
543,0.38,4,3,90.9
544,0.87,7,4,96.6
545,0.59,3,3,80.8
546,0.26,4,3,88.2
547,0.39,2,3,98
548,0.56,7,1,90.4
549,0.51,5,3,87.1
550,0.6,6,3,75.8
551,0.69,4,3,89.2
552,0.65,5,2,90
553,0.31,7,2,98.9
554,0.31,3,1,100
555,0.42,5,4,77.7
556,0.21,5,3,88.6
557,0.49,2,3,95.3
558,0.79,8,4,92.7
559,0.84,6,2,97.7
560,0.62,7,2,88.3
561,0.63,3,3,82.5
562,0.49,7,3,92.9
563,0.52,8,1,94.6
564,0.46,7,4,81.6
565,0.62,7,3,80.9
566,0.67,3,4,96.4
567,0.52,6,3,77.9
568,0.22,2,2,88.3
569,0.46,4,4,83.1
570,0.76,3,4,99.2
571,0.76,5,3,87.6
572,0.55,8,4,100
573,0.53,6,2,83.5
574,0.81,3,3,85.9
575,0.24,5,2,78.9
576,0.31,6,3,95
577,0.27,6,1,93.5
578,0.52,4,1,96.1
579,0.76,6,3,94.6
580,0.76,6,4,98.2
581,0.53,3,4,82
582,0.64,7,3,85.4
583,0.26,6,3,79.5
584,0.32,3,2,99.3
585,0.86,7,2,88.2
586,0.36,7,3,88.9
587,0.46,5,1,91.6
588,0.35,7,1,80.6
589,0.26,3,1,79.5
590,0.41,3,3,79.6
591,0.51,6,1,100
592,0.7,3,4,90.4
593,0.58,7,2,92.4
594,0.37,2,2,91.1
595,0.5,3,4,82.1
596,0.25,4,3,90.5
597,0.7,6,3,100
598,0.85,4,3,82.3
599,0.53,3,1,88.1
600,0.24,3,4,68.6
601,0.64,6,2,96.3
602,0.8,3,3,89.7
603,0.81,6,3,93.9
604,0.85,8,2,100
605,0.8,4,1,93.6
606,0.82,6,2,85.6
607,0.39,4,3,89.1
608,0.3,6,4,71.5
609,0.6,4,4,90.2
610,0.84,5,2,100
611,0.69,3,3,86.2
612,0.82,8,3,91.7
613,0.64,7,3,91.4
614,0.22,4,2,87.3
615,0.39,7,2,82.1
616,0.26,5,3,78.3
617,0.27,3,3,86.1
618,0.64,2,4,81.4
619,0.36,5,4,97.8
620,0.35,4,1,82.3
621,0.25,3,2,79.1
622,0.58,6,4,81.8
623,0.86,3,3,80.3
624,0.76,3,1,100
625,0.53,4,2,91.5
626,0.76,7,3,82.2
627,0.51,4,4,93
628,0.61,6,1,90.4
629,0.32,2,2,91.4
630,0.75,6,3,91.9
631,0.24,8,3,76.2
632,0.75,4,1,96.5
633,0.87,3,4,91.5
634,0.28,5,3,79.4
635,0.69,5,4,77.9
636,0.59,3,3,90.2
637,0.8,6,3,92.2
638,0.66,6,3,96.6
639,0.27,6,2,83
640,0.8,2,1,96
641,0.24,5,2,79.6
642,0.89,7,3,83
643,0.49,3,2,91.6
644,0.53,7,1,94.1
645,0.43,2,1,82.6
646,0.87,6,2,89.1
647,0.86,3,2,80.2
648,0.36,5,3,82.3
649,0.54,6,1,100
650,0.3,2,4,74.2
651,0.81,2,1,88.4
652,0.24,6,4,74
653,0.89,4,4,93.1
654,0.78,6,3,94.8
655,0.2,5,2,86.8
656,0.64,6,2,79.4
657,0.67,7,3,100
658,0.33,6,3,95.5
659,0.82,2,4,100
660,0.25,5,2,92
661,0.74,6,2,88
662,0.9,6,4,89.8
663,0.89,4,3,98.5
664,0.73,6,2,94.9
665,0.82,4,3,91.4
666,0.71,2,1,99
667,0.68,6,1,81.8
668,0.35,6,4,84.9
669,0.88,7,2,100
670,0.76,7,4,92.8
671,0.53,7,3,90.4
672,0.57,6,2,92.9
673,0.87,3,2,92.9
674,0.72,4,1,98.3
675,0.66,3,1,98.1
676,0.56,5,3,90.5
677,0.55,3,3,75.4
678,0.51,4,1,81.5
679,0.32,4,2,92.7
680,0.66,5,3,77.5
681,0.8,5,3,96.3
682,0.39,8,2,92
683,0.24,6,1,83.4
684,0.52,3,3,84.1
685,0.31,6,3,78.7
686,0.63,7,3,89
687,0.53,8,2,91
688,0.42,7,2,88.6
689,0.36,2,3,90.2
690,0.55,7,1,90.6
691,0.24,3,2,90.7
692,0.46,4,2,91.7
693,0.57,7,3,91.8
694,0.24,4,3,87.3
695,0.71,6,2,82.5
696,0.55,3,1,95.9
697,0.35,7,2,87.4
698,0.79,3,2,92.8
699,0.21,6,2,84.7
700,0.72,3,4,80.5
701,0.31,5,2,85.2
702,0.69,4,2,83.2
703,0.78,2,2,85.4
704,0.24,7,3,85.1
705,0.24,7,3,81.8
706,0.54,7,3,80.8
707,0.21,5,2,92.2
708,0.6,7,3,91.8
709,0.86,3,2,94.9
710,0.44,3,4,78.5
711,0.73,5,1,91.4
712,0.34,3,4,90.7
713,0.49,6,2,80.1
714,0.57,7,3,84.9
715,0.32,6,3,85.4
716,0.37,8,2,99
717,0.49,7,3,89.1
718,0.36,7,2,82.2
719,0.47,2,1,98.3
720,0.89,4,3,95.8
721,0.25,4,3,84
722,0.72,2,4,94.5
723,0.78,3,2,86.2
724,0.58,5,3,80.4
725,0.72,7,4,92.4
726,0.74,6,3,80.4
727,0.75,2,2,93.5
728,0.57,4,4,88.2
729,0.25,5,3,78.6
730,0.89,5,2,93.3
731,0.29,6,4,86.7
732,0.44,6,3,75
733,0.86,6,1,92.9
734,0.28,7,2,75.1
735,0.89,5,4,85.3
736,0.9,4,2,80.4
737,0.81,3,4,91.5
738,0.87,8,4,83.7
739,0.33,5,2,82
740,0.81,5,4,86.6
741,0.36,5,4,83.9
742,0.78,3,1,94.6
743,0.69,3,2,79.9
744,0.78,5,2,90.3
745,0.5,3,2,100
746,0.73,3,4,91.8
747,0.35,4,1,95.4
748,0.45,3,4,84.9
749,0.22,2,4,74.7
750,0.25,4,2,78.5
751,0.25,5,1,100
752,0.6,8,2,100
753,0.88,5,1,98
754,0.7,7,1,95.9
755,0.22,5,2,87.9
756,0.77,3,2,85.4
757,0.53,6,3,99.3
758,0.55,6,3,88.8
759,0.76,6,2,90.9
760,0.52,4,3,87.3
761,0.86,7,3,86.5
762,0.41,7,3,94.9
763,0.25,5,1,82.6
764,0.33,6,2,84.1
765,0.27,2,4,93.5
766,0.44,4,3,91
767,0.7,4,1,100
768,0.46,8,2,91.5
769,0.57,4,3,93.1
770,0.62,3,4,95.5
771,0.48,5,2,85.3
772,0.25,7,2,82.5
773,0.56,7,2,98.3
774,0.23,2,1,79.6
775,0.25,6,2,78.7
776,0.32,8,3,90.2
777,0.21,5,2,100
778,0.22,5,3,78.4
779,0.9,8,2,98.8
780,0.32,6,2,97
781,0.25,5,2,85.6
782,0.35,7,3,89.2
783,0.23,4,2,88.2
784,0.33,6,3,80.6
785,0.89,6,2,100
786,0.62,7,2,79.4
787,0.32,2,3,78.9
788,0.77,5,2,82.6
789,0.82,7,2,84.5
790,0.35,8,3,89.4
791,0.4,6,4,94.6
792,0.56,8,4,87
793,0.59,5,2,97.6
794,0.4,8,1,93.1
795,0.66,3,3,85.1
796,0.45,7,4,86.7
797,0.57,6,3,96.8
798,0.49,5,4,78.6
799,0.27,8,3,96.2
800,0.87,8,2,100
801,0.64,3,1,88.2
802,0.53,7,3,94.1
803,0.8,5,3,91.6
804,0.85,3,4,85
805,0.47,5,2,98.7
806,0.86,7,3,93.3
807,0.73,2,4,97.1
808,0.81,8,3,95.8
809,0.8,8,4,95
810,0.61,7,4,91.9
811,0.22,3,2,77.3
812,0.74,3,3,86.5
813,0.77,7,4,88.8
814,0.37,4,2,82.6
815,0.87,6,3,91
816,0.86,3,2,99.2
817,0.33,7,3,75.7
818,0.79,3,3,94.1
819,0.28,2,2,81.1
820,0.77,4,4,82.6
821,0.87,5,2,93
822,0.71,8,2,97.6
823,0.53,6,4,85.2
824,0.8,4,1,96.8
825,0.58,5,1,98.3
826,0.82,3,3,99.1
827,0.7,6,2,90.6
828,0.78,2,3,94.7
829,0.81,4,2,100
830,0.79,7,2,85.4
831,0.39,8,2,88.2
832,0.29,3,2,91.2
833,0.83,5,2,82
834,0.23,6,3,83.2
835,0.48,3,3,82.9
836,0.4,5,4,83.2
837,0.3,4,4,86.3
838,0.47,6,4,93.3
839,0.83,3,3,93.1
840,0.3,7,4,79.3
841,0.48,8,1,90.4
842,0.67,4,3,96.3
843,0.68,8,4,96.6
844,0.43,8,4,87.9
845,0.46,7,4,81
846,0.45,6,3,89.2
847,0.69,6,4,91.7
848,0.24,7,3,86.9
849,0.66,6,1,99.6
850,0.82,6,2,99.6
851,0.54,7,2,100
852,0.84,5,2,91.8
853,0.5,6,2,85.7
854,0.82,5,1,100
855,0.27,7,1,87
856,0.34,5,1,93.2
857,0.8,4,2,96.7
858,0.66,4,4,94.7
859,0.52,6,1,84.8
860,0.85,5,2,100
861,0.73,6,2,90.2
862,0.86,3,1,91.3
863,0.49,7,1,96.9
864,0.49,5,4,87.6
865,0.46,3,4,84.4
866,0.56,8,3,84.3
867,0.7,6,3,92
868,0.77,8,1,92.9
869,0.43,5,2,95
870,0.39,7,3,76.5
871,0.57,4,4,82.6
872,0.25,4,2,96.3
873,0.7,7,3,95.3
874,0.36,2,2,78.3
875,0.78,6,4,83.9
876,0.86,7,2,100
877,0.21,7,2,95
878,0.66,6,4,87
879,0.33,3,2,100
880,0.76,3,3,93.2
881,0.27,2,4,93.9
882,0.54,6,2,83
883,0.26,2,2,95.5
884,0.25,7,3,86.9
885,0.8,3,4,92.1
886,0.75,3,3,84.8
887,0.34,4,4,74
888,0.53,2,3,93.1
889,0.53,3,2,84.3
890,0.6,8,4,93.5
891,0.87,7,1,100
892,0.66,2,4,90.5
893,0.44,8,4,88.6
894,0.34,8,4,84.1
895,0.28,5,2,99.9
896,0.32,3,1,96.3
897,0.76,4,2,86.9
898,0.49,5,1,98.5
899,0.58,8,3,78.9
900,0.51,6,4,89.2
901,0.64,7,2,90.2
902,0.75,4,3,92.8
903,0.85,2,4,84.7
904,0.72,3,2,95.3
905,0.66,4,2,84.2
906,0.53,6,4,76.1
907,0.57,3,3,86.2
908,0.75,6,3,82.6
909,0.46,6,2,96.3
910,0.23,3,2,83.2
911,0.43,2,3,91.9
912,0.82,6,3,84.1
913,0.4,7,2,95.3
914,0.51,7,4,89.3
915,0.26,6,4,83.3
916,0.65,3,2,81.7
917,0.71,6,1,97.9
918,0.81,4,2,94.3
919,0.46,3,3,84.1
920,0.71,4,4,98.3
921,0.27,8,3,83.6
922,0.6,4,3,88.6
923,0.54,8,2,87.9
924,0.27,2,2,81.6
925,0.87,3,2,83.2
926,0.85,8,2,81.7
927,0.45,4,3,93.2
928,0.43,7,3,87.9
929,0.84,7,1,100
930,0.9,5,1,100
931,0.7,3,2,96
932,0.54,5,2,91.1
933,0.23,7,2,91.1
934,0.81,5,2,94.1
935,0.47,8,2,100
936,0.42,5,4,74.1
937,0.24,4,3,85.2
938,0.79,2,3,80.3
939,0.78,7,2,90.1
940,0.87,3,1,100
941,0.23,2,2,79.2
942,0.7,3,1,98.3
943,0.67,6,3,96.1
944,0.89,6,1,95.4
945,0.8,5,1,100
946,0.86,3,1,89.3
947,0.41,7,2,93.4
948,0.73,7,1,84.3
949,0.73,6,4,89
950,0.6,6,3,81.7
951,0.22,2,2,90.8
952,0.8,6,2,87.2
953,0.24,7,1,95.3
954,0.45,7,1,100
955,0.89,7,3,96.9
956,0.86,4,3,97.2
957,0.75,7,3,81.7
958,0.79,4,2,100
959,0.87,6,2,97.9
960,0.59,2,3,81.8
961,0.57,7,2,99.8
962,0.59,5,1,82.8
963,0.23,5,2,78.1
964,0.67,3,4,90.5
965,0.63,3,1,92.4
966,0.38,6,3,97.5
967,0.59,3,3,85.3
968,0.47,5,2,83.8
969,0.25,5,2,82.3
970,0.65,6,1,92
971,0.22,3,3,75.5
972,0.36,3,2,89.6
973,0.58,5,3,93.3
974,0.58,3,2,85.7
975,0.37,4,3,75
976,0.67,5,2,82.5
977,0.59,3,2,87
978,0.34,3,4,74.8
979,0.53,4,2,87.5
980,0.87,2,3,79.4
981,0.89,6,4,95.1
982,0.6,6,2,84
983,0.3,7,2,97.6
984,0.34,5,2,94
985,0.53,8,2,97.4
986,0.48,3,2,87.1
987,0.49,6,1,88.9
988,0.25,7,2,89.5
989,0.63,4,3,87
990,0.42,4,3,80.2
991,0.87,6,2,94.3
992,0.21,6,2,91.6
993,0.62,3,1,97
994,0.72,7,2,99.8
995,0.58,2,3,81.5
996,0.7,4,2,83.9
997,0.74,3,3,88.5
998,0.72,3,3,79.9
999,0.85,2,2,86.2
1000,0.85,3,1,88.2
1001,0.3,3,1,97.4
1002,0.64,7,2,98.6
1003,0.84,7,1,99.3
1004,0.25,7,1,81.3
1005,0.47,4,2,94.2
1006,0.84,7,3,89.6
1007,0.43,7,3,84.9
1008,0.77,7,2,99.4
1009,0.41,4,2,82.2
1010,0.82,4,3,96.1
1011,0.38,4,3,92.6
1012,0.65,8,3,87.6
1013,0.52,3,3,82.9
1014,0.62,6,3,90.2
1015,0.39,3,3,82.6
1016,0.68,6,3,89.2
1017,0.33,6,4,90.3
1018,0.46,4,2,80.7
1019,0.24,3,3,89.9
1020,0.87,5,3,100
1021,0.34,4,2,82.5
